Poll,From,To,Trump,Carson,Rubio,Cruz,Bush,Fiorina,Huckabee,Christie,Kasich,Paul,Graham,Pataki,Santorum,Difference
ABC/Wash Post,11-Dec,14-Dec,0,8,7,8,14,0,7,7,2,10,0,0,3,4
McClatchy/Marist,3-Dec,9-Dec,0,8,3,5,16,1,12,10,3,6,0,0,3,4
CNN/ORC,21-Nov,23-Nov,0,11,3,7,14,0,10,9,3,8,0,0,2,3
Quinnipiac,18-Nov,23-Nov,0,9,3,5,14,0,7,11,2,8,0,0,2,3
Rasmussen,20-Nov,21-Nov,0,0,0,0,18,0,0,15,0,13,0,0,0,2
ABC/Wash Post,9-Oct,12-Oct,0,7,8,4,13,0,12,8,2,12,0,0,4,1
McClatchy/Marist,24-Sep,29-Sep,0,0,6,4,15,0,0,12,0,13,0,0,3,2
McClatchy/Marist,4-Aug,4-Aug,0,0,9,10,13,0,0,13,0,7,0,0,3,
FOX News,20-Jul,22-Jul,0,0,9,9,12,0,0,10,2,11,0,0,3,
CNN/ORC,18-Jul,20-Jul,0,0,6,8,8,0,12,13,0,12,0,0,3,1
Quinnipiac,24-Jun,30-Jun,0,0,6,8,10,0,10,10,2,11,0,0,2,1
CNN/ORC,29-May,1-Jun,0,0,8,9,12,0,11,8,0,14,0,0,4,2
CNN/ORC,2-May,4-May,0,0,6,7,13,0,10,9,0,13,0,0,2,
ABC/Wash Post,24-Apr,27-Apr,0,0,6,7,12,0,14,9,1,15,0,0,0,1
FOX News,13-Apr,15-Apr,0,0,8,7,14,0,0,15,0,14,0,0,5,1
McClatchy/Marist,7-Apr,10-Apr,0,0,7,4,13,0,13,12,0,12,0,0,3,
Reason-Rupe,26-Mar,30-Mar,0,0,6,6,11,0,15,10,0,11,0,0,0,4
WPA (R),18-Mar,20-Mar,0,0,6,9,11,0,13,9,0,13,0,0,3,
CNN/ORC,7-Mar,9-Mar,0,0,5,8,9,0,10,8,0,16,0,0,3,5
PPP (D),6-Mar,9-Mar,0,0,6,11,15,0,18,14,0,14,0,0,0,3
McClatchy/Marist,4-Feb,9-Feb,0,0,12,5,8,0,13,13,1,9,0,0,2,
CNN/ORC,31-Jan,2-Feb,0,0,10,10,9,0,16,12,0,14,0,0,5,2
PPP (D),23-Jan,26-Jan,0,0,8,8,14,0,16,13,0,11,0,0,0,2
ABC/Wash Post,20-Jan,23-Jan,0,0,10,12,18,0,0,14,0,11,0,0,0,4
Quinnipiac,15-Jan,19-Jan,0,0,8,9,11,0,0,12,2,13,0,0,0,1
NBC/Marist,12-Jan,14-Jan,0,0,7,5,8,0,0,16,0,9,0,0,5,7
FOX News,14-Dec,16-Dec,0,0,8,12,12,0,0,16,0,11,0,0,3,4
PPP (D),12-Dec,15-Dec,0,0,7,14,10,0,13,19,0,11,0,0,0,5
Quinnipiac,3-Dec,9-Dec,0,0,7,13,11,0,0,17,2,14,0,0,0,3
McClatchy/Marist,3-Dec,5-Dec,0,0,7,10,10,0,0,18,0,12,0,0,4,6
CNN/ORC,18-Nov,20-Nov,0,0,10,11,5,0,0,24,0,15,0,0,6,9
Rasmussen,7-Nov,8-Nov,0,0,16,12,12,0,0,22,0,20,0,0,0,2
PPP (D),29-Oct,31-Oct,0,0,10,15,14,0,0,16,0,16,0,0,5,
Quinnipiac,23-Sep,29-Sep,0,0,12,10,11,0,0,13,0,17,0,0,0,4
PPP (D),25-Sep,26-Sep,0,0,10,20,11,0,0,14,0,17,0,0,3,3
CNN/ORC,6-Sep,8-Sep,0,0,9,7,10,0,0,17,0,13,0,0,5,4
Rasmussen,1-Aug,2-Aug,0,0,18,0,16,0,0,21,0,15,0,0,0,3
PPP (D),19-Jul,21-Jul,0,0,10,12,13,0,0,13,0,16,0,0,4,3
McClatchy/Marist,15-Jul,18-Jul,0,0,12,7,10,0,0,15,0,9,0,0,2,3
PPP (D),6-May,9-May,0,0,16,7,15,0,0,15,0,14,0,0,5,1
Quinnipiac,26-Mar,1-Apr,0,0,19,0,10,0,0,14,0,15,0,0,0,4
PPP (D),27-Mar,30-Mar,0,0,21,0,12,0,0,15,0,17,0,0,5,4
PPP (D),31-Jan,3-Feb,0,0,22,0,13,0,11,13,0,10,0,0,0,9
PPP (D),3-Jan,6-Jan,0,0,21,0,14,0,15,14,0,5,0,0,0,6
PPP (D),30-Nov,2-Dec,0,0,18,0,12,0,11,14,0,7,0,0,4,4
